Food_ID,Name,Carbs DV%,Fats DV%,Proteins DV%,Congenital Heart Disease,Coronary Artery Disease,Dilated Cardiomyopathy
0,Aloo gobi,1.575733333,0.058461538,1.9532,1,1,1
1,Aloo tikki,1.575733333,0.058461538,1.9532,1,1,1
2,Aloo tuk,1.575733333,0.058461538,1.9532,1,1,1
3,Aloo matar,1.575733333,0.058461538,1.9532,1,1,1
4,Aloo methi,1.575733333,0.058461538,1.9532,1,1,1
5,Aloo shimla mirch,1.575733333,0.058461538,1.9532,1,1,1
6,Amriti with rabdi,13.39891816,24.2898925,25.77744067,1,1,1
7,Amritsari fish,0,4.184615385,64.256,0,1,1
8,Amritsari kulcha,11.14,1.107692308,10.92,1,0,1
9,Baati,62.3104,19.14092308,82.3296,1,0,1
10,Bhatura,22.06370368,26.16868614,22.10627048,1,0,1
11,Bhindi masala,0.294895833,0.034711538,0.458375,1,1,1
12,Biryani,26.5958332,45.01143034,54.01398728,0,1,0
13,Butter chicken,0.0226,141.0066154,1.921,1,1,1
14,Chaat,24.39417672,9.663396618,41.45343587,1,1,1
15,Chana masala,0.066433334,0.025076923,0.0652,1,1,1
16,Chapati,0.154533333,0.114615385,0.225,1,0,1
17,Chicken razala,0,278.0307692,446.4,0,1,1
18,Chicken Tikka,0,278.0307692,446.4,0,1,1
19,Chicken Tikka masala,0.45676,0.254015385,0.23142,1,1,1
20,Chole bhature,94.00533333,41.62953846,183.4112,1,1,1
21,Daal baati churma,62.3104,19.14092308,82.3296,1,0,1
22,Daal puri,11.14,1.107692308,10.92,1,0,1
23,Dal makhani (kali dal),5.9864743,0.4623153,13.96497509,1,1,1
24,Dal fara,5.9864743,0.4623153,13.96497509,1,1,1
25,Dal,5.9864743,0.4623153,13.96497509,1,1,1
26,Dal fry with tadka,5.9864743,0.4623153,13.96497509,1,1,1
27,Dum aloo,1.575733333,0.058461538,1.9532,1,1,1
28,Poha,7.479549184,0.226796185,3.685438006,1,1,1
29,phirni,22.10600447,20.9570273,18.41572675,1,1,1
30,French bean aloo,1.161666667,0.169230769,1.83,1,1,1
31,Gajar ka halwa,9.58,1.107692308,5.58,1,1,1
32,Gajar matar aloo,9.58,1.107692308,5.58,1,1,1
33,Gobhi matar,9.633333333,1.230769231,21.68,1,1,1
34,Imarti,36.86194369,20.87498317,14.08736617,1,1,1
35,Hari mutter ka nimona (green peas daal),9.633333333,1.230769231,21.68,1,1,1
36,Jalebi,17.10459596,17.40142224,6.469558656,1,0,1
37,Kachori,18.54512209,10.33125149,18.73672169,1,0,1
38,Kadai paneer,0.011266667,0.066153846,0.2224,1,1,1
39,Kadhi pakoda,6.69199027,38.77271208,16.06550859,1,1,1
40,Karela bharta,0.043866667,0.042461538,0.424,1,1,1
41,Katha meetha petha / kaddu halwa,8.7123,0.237230769,9.5604,1,1,1
42,Kheer,8.7046,4.696923077,9.1732,1,1,1
43,Khichdi,22.19336988,12.42905534,22.02838043,1,1,1
44,Kofta,4.219211691,40.36658266,31.30355903,0,1,0
45,Kulfi falooda,48,123.0769231,48,1,1,1
46,Lauki ke kofte,8.7123,0.237230769,9.5604,1,1,1
47,Lauki ki subji,8.7123,0.237230769,9.5604,1,1,1
48,Litti chokha,14.65469017,19.26650191,15.58185175,1,0,1
49,Makhaan ka kheer,8.7046,4.696923077,9.1732,1,1,1
50,"Makki di roti, sarson da saag",6.358,2.118461538,6.6708,1,1,1
51,Mathura ke pede,16.24021333,1.745271795,10.03072,1,1,1
52,"Methi saag, chaulai saab",5.513982248,2.795699127,13.04078064,1,1,1
53,Misi roti,0.154533333,0.114615385,0.225,1,0,1
54,Mixed vegetable,50.9166,9.072,75.5244,1,1,1
55,Moong dal ka halwa,0.0198,0.002769231,0.0608,1,1,1
56,Murgh musallam,3.152181523,35.09633699,40.18784278,0,1,0
57,Mushroom do pyaza,2.173333333,1.046153846,12.36,1,1,1
58,Mushroom matar,9.633333333,1.230769231,21.68,1,1,1
59,Naan,15.129,7.823076923,17.316,1,0,1
60,Navrattan korma,135.3333333,490.7692308,406,1,0,1
61,Palak paneer,4.114,2.04,19.448,1,1,1
62,Paneer butter masala,0.011266667,0.066153846,0.2224,1,1,1
63,Paneer tikka masala,0.011266667,0.066153846,0.2224,1,1,1
64,Pani puri,11.14,1.107692308,10.92,1,0,1
65,Papad,33.5272,8.4,85.8816,1,1,1
66,Paratha,0.151166667,0.203076923,0.1272,1,0,1
67,Phirni,22.10600447,20.9570273,18.41572675,1,1,1
68,Pindi chana,94.00533333,41.62953846,183.4112,1,1,1
69,Pinni,21.34930731,48.72752385,13.45766317,1,0,1
70,Rajma chaval,5.791807574,0.4623153,12.77429512,1,1,1
71,Rajma,5.791807574,0.4623153,12.77429512,1,1,1
72,Samosa,11.69189172,23.19680409,13.53172809,0,0,0
73,Sattu ki roti,0.154533333,0.114615385,0.225,1,0,1
74,Shahi paneer,0.011266667,0.066153846,0.2224,1,1,1
75,Shahi tukra,13.26944503,30.35411272,15.92785394,1,0,1
76,Singhada halwa,0.163566667,0.017076923,0.084,1,1,1
77,Sooji halwa,6.882319231,0.457953835,7.189439065,1,0,1
78,Sweet pethas / kesar petha / pista petha,8.7123,0.237230769,9.5604,1,1,1
79,Vegetable jalfrezi,50.9166,9.072,75.5244,1,1,1
80,Tandoori Chicken,0,278.0307692,446.4,0,1,1
81,Tandoori Fish Tikka,0,4.184615385,64.256,0,1,1
82,Avial,8.947532491,22.54058251,21.29366352,0,1,0
83,Halwa,11.82012985,49.62386636,23.38022331,1,1,1
84,Bisi bele bath (Karnataka),5.9864743,0.4623153,13.96497509,1,1,1
85,Bonda,14.52224734,16.35469072,17.53566983,1,0,1
86,Chettinadu Chicken,0,278.0307692,446.4,0,1,1
87,Chicken 65,0,278.0307692,446.4,0,1,1
88,Currivepillai sadam (Tamil Nadu),12.96979478,16.31712082,11.28702778,1,1,1
89,Dibba rotti,13.96098238,18.53423182,7.963451395,1,1,1
90,Dosa,21.31933333,33.72615385,28.928,1,0,1
91,Double ka meetha,40.99477588,51.20646197,46.09802565,1,0,1
92,Ennai kathirikkai,0,1.538461538,0,1,1,1
93,Goli bajje,3.6421,0.509384615,3.913,1,1,1
94,Hyderabadi biryani,32.64049397,61.04218623,58.91839485,0,1,0
95,Idiappam(Tamil Nadu),149.3333333,0,56,1,1,1
96,Idli,2.486253178,0.270410836,3.606059342,1,1,1
97,Indian omelette,3.544788374,30.85627696,25.72851167,1,1,1
98,Keerai koottu (Tamil Nadu),4.114,2.04,19.448,1,1,1
99,Keerai masiyal,4.114,2.04,19.448,1,1,1
100,Keerai poriyal,4.114,2.04,19.448,1,1,1
101,Keerai sadam (Tamil Nadu),4.114,2.04,19.448,1,1,1
102,Kori rotti,13.96098238,18.53423182,7.963451395,1,1,1
103,Kos kootu,9.739250651,13.72127835,10.75675567,1,1,1
104,Kothamali sadam,12.96979478,16.31712082,11.28702778,1,1,1
105,Kuzhambu,5.041064628,12.88049206,28.33736156,1,1,1
106,Masala Dosa,0.45676,0.254015385,0.23142,1,1,1
107,Nandu omelette,0,1.587692308,62.9176,0,1,0
108,"Obbattu (holige, bobbattu, pooran-poli)",11.14,1.107692308,10.92,1,0,1
109,Olan (dish),4.940326051,20.47003826,6.629871759,1,1,1
110,Pachadi,4.584592128,7.860435037,8.42091238,1,1,1
111,"Paniyaram, Paddu, Gunthapangnalu",20.90015491,5.019296226,17.47425474,1,1,1
112,Papadum,0.154000003,0.021538461,0.42,1,1,1
113,Parotta (Kerala),13.69486818,23.47290415,13.69796038,1,0,1
114,Paruppu sadam,5.9864743,0.4623153,13.96497509,1,1,1
115,Payasam,15.68113913,17.41200561,14.7483582,1,0,1
116,Pesarattu,13.67093647,3.195895784,20.73254898,1,1,1
117,Pongal,16.42510264,15.34624636,14.37932512,1,1,1
118,Poriyal,6.558632003,8.843532939,7.032516983,1,1,1
119,"Puli sadam, Puliogre, Puliohara",25,1.107692308,6.72,1,1,1
120,Puttu,13.15870609,14.93427004,7.169557792,1,1,1
121,"Ragi mudhe, Kali",6.80388555,0.566990463,4.139030376,0,0,0
122,Rasam,0.726056347,0.934883088,0.848042011,1,1,1
123,Sakkara pongal,16.42510264,15.34624636,14.37932512,1,1,1
124,Sambar,10.37905345,14.12391589,25.36278969,0,1,0
125,"Sandige (Karnataka),Vattral",56,0,48,1,0,1
126,Sevai,14.95958753,11.5067282,8.548344405,1,1,1
127,"Thayir sadam, mosaranna, perugannam",3.526066667,11.35,15.7538,1,1,1
128,Thengai sadam,12.96979478,16.31712082,11.28702778,1,1,1
129,Uttapam Tamil Nadu,33.04708856,10.96217423,26.0109036,1,1,1
130,Vada,9.475649086,18.78488328,19.19385232,1,1,1
131,"Wheat upma, Uppittu",7.015561989,0.680388555,5.868351287,1,0,1
132,"Yelumicham sadam, chitranna",17.9695948,10.47842878,13.00596456,1,1,1
133,Bajri no rotlo,6.189645882,0.959522321,3.515340868,1,1,1
134,Barfi,18.71876906,33.63063449,18.90521809,1,1,1
135,Basundi,1.173671067,2.634769163,2.197789535,1,1,1
136,Bhakri,17.46350236,17.86966635,16.11308986,1,0,1
137,Bombil fry,18.38694425,17.22634353,14.56780942,1,1,1
138,Chevdo,28,96.92307692,56,1,1,1
139,Daal Dhokli,16.75383189,19.34299096,28.54153878,1,0,1
140,Dabeli,17.81358636,22.34282297,15.49459437,0,0,0
141,Dahi vada,3.526066667,11.35,15.7538,1,1,1
142,Dhokla,9.267003264,14.39018617,17.82315491,1,0,1
143,Dudhi no halwo,8.7123,0.237230769,9.5604,1,1,1
144,Dum aaloo,2.23359871,0,0,1,1,1
145,Gajar halwo,9.58,1.107692308,5.58,1,1,1
146,Gatta curry,0.1861,0.215538462,0.2858,1,1,1
147,Ghari (sweet from Surat),0,0,0,1,1,1
148,Gud papdi (Gol papdi),0.326966667,0,0.0024,1,1,1
149,Gulab jamun,16.77270658,29.09258042,9.533226843,1,0,1
150,Handwo (steamed dish),0.0939,0.004307692,0.0538,1,1,1
151,Gur,4.982,0.030769231,0,1,1,1
152,Jeera Aloo,0.15484,0.359746154,0.37401,1,1,1
153,Karanji,9.711221314,22.1824828,6.787659702,1,0,1
154,Keri no ras,15.137802,35.99193516,34.66014182,1,0,1
155,Khakhra,48,24.61538462,80,1,0,1
156,Khandvi,1.052611036,4.18191417,3.098150804,1,1,1
157,Laddu,18.24178419,30.81705692,11.3511161,1,0,1
158,Malpua,23.36916805,38.09621877,14.0757365,1,0,1
159,Methi na Gota,5.513982248,2.795699127,13.04078064,1,1,1
160,Modak,34.21282343,35.46128386,14.4823615,1,0,1
161,Mohanthal,16.6051018,49.2179447,14.74165563,1,1,1
162,Chakri (chakali),40.13333511,98.00000411,28,1,0,1
163,Naralachi vadi / Khobryachi vadi / Coconut vadi,3.3506,34.00523077,4.3956,1,1,1
164,Panipuri,0,0,0,1,1,1
165,Patra,0.2499,0.128615385,0.1522,1,1,1
166,Pav Bhaji,10.013,3.770769231,11.286,1,0,1
167,Pooran-poli,11.14,1.107692308,10.92,1,0,1
168,Poori,11.14,1.107692308,10.92,1,0,1
169,Puri Bhaji,11.14,1.107692308,10.92,1,0,1
170,Rasya muthia,13.25513564,13.37744507,26.86578604,1,0,1
171,Sabudana Khichadi,8.38106402,0.00872293,0.107728188,1,1,1
172,Sev khamani,5.46389809,2.917820149,12.69491646,1,1,1
173,Sev tameta,5.46389809,2.917820149,12.69491646,1,1,1
174,Shakarpara,12.79731664,12.67524191,6.114310009,1,0,1
175,Shankarpali,14.21749881,15.97033959,7.529689936,1,0,1
176,Shiro,0.016433333,0.008769231,0.1628,1,0,1
177,Shrikhand,13.273693,11.89148517,19.69474415,1,1,1
178,Sohan papdi,6.827956411,11.30599683,8.98323628,1,0,1
179,Thalipeeth,19.59928796,8.799039653,19.05115859,0,0,0
180,Thepla,18.98404007,16.20876625,26.70233849,1,0,1
181,Vada pav,10.013,3.770769231,11.286,1,0,1
182,Veg Kolhapuri,10.0467421,19.57786826,12.44802671,1,1,1
183,Vindaloo,0.135693215,0.067937369,0.07079646,1,1,1
184,Lilva Kachori,18.54512209,10.33125149,18.73672169,1,0,1
185,Mag Dhokli,16.75383189,19.34299096,28.54153878,1,0,1
186,Khichu,11.03383356,6.528981863,7.067315818,1,1,1
187,Farsi Puri,11.14,1.107692308,10.92,1,0,1
188,Khaman,9.458917031,12.04735754,18.31213159,1,0,1
189,Turiya Patra Vatana sabji,50.9166,9.072,75.5244,1,1,1
190,Churma Ladoo,11.89138884,24.12043436,10.13174962,1,0,1
191,Cheera Doi,13.73597288,14.17660297,19.98777337,1,1,1
192,Daab chingri,7.773011654,68.5317625,32.39074107,0,1,0
193,Dhup Pitha,25.71710651,34.92097495,26.6983337,1,0,1
194,Gheela Pitha,25.71710651,34.92097495,26.6983337,1,0,1
195,Loskora (Coconut Laddu),3.3506,34.00523077,4.3956,1,1,1
196,Luchi,11.14,1.107692308,10.92,1,0,1
197,Malpua/Malpoa,23.36916805,38.09621877,14.0757365,1,0,1
198,Momo,12.78119292,27.14533599,29.92202048,0,0,0
199,Muri Naaru,9.800570388,49.7623077,42.40934129,0,1,1
200,Pani Tenga,4.803203047,24.00425209,64.78368917,0,1,1
201,Sunga Pitha,25.71710651,34.92097495,26.6983337,1,0,1
202,Alu Pitika,14,18.46153846,12,1,1,1
203,Masor tenga,4.803203047,24.00425209,64.78368917,0,1,1
204,Bilahi Maas,5.747180712,73.67149493,52.8845252,0,1,0
205,Black rice,101.2095996,20.61784621,89.31840088,1,1,1
206,Bora Sawul,6,15.38461538,8,1,0,1
207,Brown Rice,0.141333333,0.036923077,0.08,1,1,1
208,Chingri malai curry,0.009866667,0.475538462,0.0434,1,1,1
209,Haq Maas,5.747180712,73.67149493,52.8845252,0,1,0
210,Horioh Maas,5.747180712,73.67149493,52.8845252,0,1,0
211,Ilish or Chingri Bhape,7.773011654,68.5317625,32.39074107,0,1,0
212,Kabiraji,3.725382382,51.20499641,62.94300535,0,0,1
213,Koldil Chicken,0,278.0307692,446.4,0,1,1
214,Koldil Duck,0,767.4326154,291.3864,0,1,1
215,Lai Haq Maas,5.747180712,73.67149493,52.8845252,0,1,0
216,Litti,14.65469017,19.26650191,15.58185175,1,0,1
217,Maasor Tenga,4.803203047,24.00425209,64.78368917,0,1,1
218,Masor Koni,4.803203047,24.00425209,64.78368917,0,1,1
219,Masor Petu,4.803203047,24.00425209,64.78368917,0,1,1
220,Mishti Chholar Dal,5.9864743,0.4623153,13.96497509,1,1,1
221,Mishti Doi,13.21345126,63.1337402,13.15594855,1,1,1
222,Ou tenga Maas,4.803203047,24.00425209,64.78368917,0,1,1
223,Bhaji,94.00533333,41.62953846,183.4112,1,1,1
224,Pani Pitha,25.71710651,34.92097495,26.6983337,1,0,1
225,Peda,22.50601719,23.57069409,18.1016604,1,1,1
226,Prawn malai curry,0.303333333,1.553846154,27.22,0,1,0
227,Red Rice,7.197943921,1.168872646,4.252428469,1,1,1
228,Rice,0.052893333,0.001784615,0.02644,1,1,1
229,Sabzi (curry),0.1861,0.215538462,0.2858,1,1,1
230,Shukto,14.65116983,43.8877082,68.75388961,0,0,0
231,Sunga Pork,0,226.44,461.916,0,1,0
232,Tenga Doi,4.803203047,24.00425209,64.78368917,0,1,1
233,Til Pitha,0.7035,6.877384615,3.1914,1,1,1
234,Chinese noodles,47.51333333,13.66153846,56.64,1,0,1
235,Chow mein,13.68537508,19.57376717,36.11620871,0,0,0
236,Noodle soup,47.51333333,13.66153846,56.64,1,0,1
237,Lamian,6.879484278,6.729740643,4.598292651,1,0,1
238,Lo mein,17.39205132,21.61644241,33.84792587,0,0,0
239,Biangbiang noodles,47.51333333,13.66153846,56.64,1,0,1
240,Sliced Noodles,47.51333333,13.66153846,56.64,1,0,1
241,Chongqing noodles,47.51333333,13.66153846,56.64,1,0,1
242,Shacha noodles,47.51333333,13.66153846,56.64,1,0,1
243,Noodles with tomato egg sauce,0.1512,9.217384615,15.8256,1,1,1
244,White rice,42.84179796,0,37.79558306,1,0,1
245,Fried Rice,0.052893333,0.001784615,0.02644,1,1,1
246,Braised pork belly,0,23.12012647,5.29569092,0,1,0
247,Braised pork,0,226.44,461.916,0,1,0
248,Sweet and sour pork,47.3802,146.7221538,108.5238,0,0,0
249,Twice cooked pork,0,226.44,461.916,0,1,0
250,Char siu,7.837955805,35.44805709,65.55017646,0,0,0
251,Century egg,0.338333333,14.82923077,17.934,1,1,1
252,Kung Pao chicken,10.013,3.770769231,11.286,1,0,1
253,Peking Duck,0,333.2215385,290.1672,0,1,1
254,Soy egg,2.850072058,8.696761402,20.68948198,1,1,1
255,Fujian red wine chicken,1.2789,0,0.2058,1,1,1
256,Stir-fried tomato and scrambled eggs,1.919066667,0.455384615,2.6048,1,1,1
257,Buddha's delight,12.92731299,18.33966688,27.96830763,0,0,0
258,Pickled vegetables,50.9166,9.072,75.5244,1,1,1
259,Double steaming / double boiling,6.728,0.701538462,3.456,1,1,1
260,Red cooking,4.140904642,66.49946069,88.50412654,0,0,0
261,Stir frying,10.78131433,24.43361341,39.93367975,0,0,0
262,Dim sum,0.088143913,0.087059527,0.154236561,0,0,0
263,Potsticker,12.38856155,15.15097301,23.90209852,0,0,0
264,Jiaozi,15.57417296,13.63490232,31.53745168,0,0,0
265,Mantou,14.65308693,5.418376784,11.0486613,1,0,1
266,Wonton,8.906892812,29.36289081,43.73316405,0,0,0
267,Cha siu bao[1],8,6.153846154,12,0,0,0
268,Chinese pizza,43.72346667,85.39323077,93.6544,1,0,1
269,Congee,9.014396713,28.52054667,47.85155489,0,0,0
270,Hot and sour soup,0.011757987,0.016958636,0.026455471,0,0,0
271,Hot pot,11.49083683,70.74200159,91.91627368,0,0,0
272,Tong sui,0,0.335664336,0.4,0,1,1
273,Bang Tofu,1.8252,20.78584615,53.0712,1,1,1
274,Bright Pearl Abalone,0.567935447,0.331471347,9.695536909,0,1,0
275,Caterpillar Fungus Duck,0,767.4326154,291.3864,0,1,1
276,Crab and Fish Stomachs,0,1.135384615,4.828,0,1,1
277,Crab-apple Flower Cake,0.0076,0.947076923,20.5884,0,1,0
278,Dried Pot Tofu,1.8252,20.78584615,53.0712,1,1,1
279,Five Colours Fish Cake,1.704,15.92307692,22.5,0,0,0
280,Flower Mushroom Frog,2.173333333,1.046153846,12.36,1,1,1
281,Steamed Pumpkin Dumplings,31.85,2.261538462,29.4,1,1,1
282,Fried Tofu Curd Balls,1.8252,20.78584615,53.0712,1,1,1
283,Fuli Roast Chicken,0,22.44,110.044,0,1,1
284,Ginger Duck,0.8885,0.173076923,0.546,1,1,1
285,Hay Wrapped Fragrant Ribs,0,466.92,401.2918,0,1,0
286,Jade Rabbit Sea Cucumber,0,1.230769231,52,0,1,0
287,Lotus Seed Pod Fish,0,4.184615385,64.256,0,1,1
288,Phoenix Tail Shrimp,0.303333333,1.553846154,27.22,0,1,0
289,Potato Croquet,14.55833333,0.346153846,10.1,1,1,1
290,Silver Fish Fried Egg,0.102366667,8.447384615,10.0714,1,1,1
291,Soy Braised Mandarin Fish,2.850072058,8.696761402,20.68948198,1,1,1
292,Crullers,6.336478535,12.3120221,6.078194236,1,0,1
293,Braised abalone,0.567935447,0.331471347,9.695536909,0,1,0
294,Shaved ice,0,0,0,1,1,1
295,Beef chow fun,0.5436,100.566,588.1752,0,1,1
296,Bird's nest soup,13.6438748,21.75854186,15.16356097,0,0,0
297,Black sesame soup,19.63333333,8.769230769,24.60499964,1,0,1
298,Cantonese seafood soup,0.404492784,0.969021609,3.836150372,0,0,0
299,Crispy fried chicken,0.796266667,5.011692308,5.0944,0,0,0
300,Duck with taro,4.5864,0.16,1.56,1,1,1
301,Little pan rice,0.052893333,0.001784615,0.02644,1,1,1
302,Red bean soup,5.670849609,0.362001603,13.36963511,1,1,1
303,Roast squab,0,72.86461538,73.5106,0,1,1
304,Roast suckling pig,0,0.539538462,0.2782,0,1,0
305,Sea cucumber,0,1.230769231,52,0,1,0
306,Seafood with bird's nest,13.6438748,21.75854186,15.16356097,0,0,0
307,Shark fin soup,0,13.87692308,83.92,0,1,1
308,Snow fungus soup,1.09515,0.050538462,0.8325,1,1,1
309,Sour spare ribs,0,466.92,401.2918,0,1,0
310,Spare ribs soup with watercress and apricot kernels,0.43,0.153846154,4.6,1,1,1
311,White cut chicken,0.066666667,0.04523077,0.094200001,1,1,1
312,Winter melon soup,8.7123,0.237230769,9.5604,1,1,1
313,Wonton noodles,47.51333333,13.66153846,56.64,1,0,1
